0,1,2,3,4,5,6,7,8,9,10,11,12
76.0,8.0,0.0,123.14285714285714,4.571428571428571,3.4285714285714284,15.0,-7.0,3.0,1.03,0.8642857142857142,-0.01,59.26
507.0,2.0,9.0,506.0,3.571428571428572,10.428571428571429,-6.0,2.0,-7.0,1.38,1.2099999999999995,0.06,50.93
4609.0,82.0,104.0,5256.142857142857,69.0,90.85714285714286,1036.0,-9.0,-11.0,0.93,0.9614285714285716,0.0299999999999999,65.74
3934.0,48.0,58.0,3897.857142857143,57.85714285714285,65.85714285714286,-1713.0,-23.0,-19.0,1.03,0.9728571428571428,-0.01,82.41
8457.0,34.0,75.0,8236.142857142857,54.0,72.14285714285714,-1824.0,52.0,-9.0,1.0,1.1057142857142856,-0.05,56.48
4754.0,50.0,86.0,5577.857142857143,92.14285714285714,74.57142857142857,-482.0,56.0,13.0,0.9,0.9385714285714286,-0.02,78.7
527.0,0.0,11.0,505.57142857142856,3.142857142857143,9.428571428571429,-65.0,6.0,-6.0,1.37,1.3242857142857145,-0.02,50.93
209.0,8.0,8.0,186.28571428571428,19.428571428571427,14.428571428571429,-76.0,18.0,2.0,0.73,0.8871428571428572,-0.0499999999999999,71.3
110.0,0.0,0.0,75.85714285714286,0.7142857142857143,0.0,81.0,5.0,29.0,1.33,1.6528571428571428,-0.08,45.37
7992.0,17.0,84.0,7818.285714285715,24.571428571428573,82.42857142857143,173.0,29.0,9.0,0.99,1.0557142857142858,-0.04,62.04
52.0,3.0,3.0,58.71428571428572,2.857142857142857,1.5714285714285714,0.0,-1.0,-5.0,1.43,1.3828571428571428,0.02,39.81
73.0,1.0,1.0,67.71428571428571,3.142857142857143,1.8571428571428568,-37.0,0.0,-1.0,1.45,1.1942857142857142,-0.02,39.81
811.0,63.0,265.0,551.0,33.285714285714285,168.71428571428572,41.0,17.0,76.0,0.71,0.7857142857142857,0.0,78.7
270.0,28.0,27.0,243.8571428571429,43.142857142857146,37.85714285714285,-70.0,25.0,8.0,0.84,0.7999999999999999,0.07,71.3
91.0,1.0,3.0,115.71428571428572,4.428571428571429,3.0,-26.0,-1.0,-1.0,1.02,0.9057142857142856,-0.05,59.26
117.0,4.0,2.0,159.57142857142858,4.571428571428571,4.428571428571429,-2.0,0.0,-3.0,0.85,0.7714285714285714,0.07,59.26
4669.0,32.0,77.0,4447.0,37.0,64.57142857142857,667.0,9.0,-32.0,1.16,1.0914285714285714,0.0,75.0
3361.0,88.0,77.0,3606.857142857143,61.0,65.28571428571429,1157.0,-16.0,-14.0,1.05,1.1114285714285714,-0.01,78.7
2217.0,2.0,26.0,1799.428571428571,3.571428571428572,20.571428571428573,28.0,8.0,6.0,1.15,1.167142857142857,0.01,48.15
4909.0,74.0,74.0,5291.571428571428,58.71428571428572,73.0,-439.0,1.0,-10.0,1.1,1.0214285714285716,0.0599999999999998,56.48
6261.0,15.0,61.0,6449.285714285715,29.0,66.57142857142857,-701.0,34.0,18.0,1.01,1.052857142857143,-0.03,75.0
964.0,86.0,147.0,1106.857142857143,136.57142857142858,227.7142857142857,-96.0,36.0,63.0,0.72,0.7328571428571429,0.02,78.7
1159.0,93.0,454.0,875.8571428571429,71.85714285714286,302.57142857142856,-55.0,39.0,75.0,0.76,0.7300000000000001,0.0,78.7
386.0,145.0,76.0,565.7142857142857,93.85714285714286,94.85714285714286,128.0,-61.0,8.0,0.71,0.7457142857142857,-0.02,78.7
1316.0,132.0,189.0,1112.2857142857142,141.71428571428572,252.0,-142.0,-38.0,7.0,0.69,0.7528571428571429,0.01,78.7
4162.0,32.0,65.0,4101.0,58.0,67.0,-365.0,62.0,-6.0,0.98,1.03,-0.01,78.7
508.0,0.0,3.0,512.2857142857143,3.4285714285714284,8.428571428571429,19.0,0.0,8.0,1.42,1.2914285714285714,-0.0499999999999998,50.93
7375.0,46.0,74.0,6023.571428571428,31.428571428571427,62.57142857142857,218.0,-30.0,-11.0,1.07,1.072857142857143,0.0,75.0
6009.0,94.0,76.0,6111.714285714285,99.57142857142856,75.85714285714286,-749.0,3.0,-27.0,0.96,0.937142857142857,0.01,78.7
1172.0,112.0,349.0,801.2857142857143,62.85714285714285,266.57142857142856,-13.0,-19.0,105.0,0.74,0.7342857142857142,0.02,78.7
4114.0,33.0,60.0,4510.428571428572,41.71428571428572,61.142857142857146,555.0,-1.0,17.0,1.14,1.0742857142857145,0.02,75.0
5413.0,43.0,96.0,5400.857142857143,68.85714285714286,81.0,-583.0,1.0,-10.0,0.96,0.987142857142857,-0.0299999999999999,65.74
1974.0,7.0,12.0,1466.571428571429,3.0,13.714285714285714,-87.0,-5.0,21.0,1.2,1.197142857142857,-0.01,50.93
5828.0,34.0,66.0,6879.571428571428,25.142857142857142,68.42857142857143,1805.0,-5.0,29.0,0.98,0.9771428571428572,-0.01,75.0
4997.0,48.0,49.0,4638.571428571428,41.57142857142857,60.142857142857146,-883.0,-15.0,11.0,1.11,1.0557142857142858,0.0299999999999998,75.0
1066.0,83.0,110.0,1009.7142857142856,135.28571428571428,160.28571428571428,-316.0,-16.0,-35.0,0.72,0.7471428571428572,-0.02,78.7
6125.0,33.0,72.0,5830.857142857143,28.571428571428573,63.285714285714285,1250.0,13.0,2.0,1.06,1.0771428571428572,0.01,75.0
91.0,3.0,5.0,82.71428571428571,3.142857142857143,3.142857142857143,-22.0,-1.0,-5.0,0.93,0.9514285714285714,0.0199999999999999,59.26
574.0,2.0,4.0,520.5714285714286,4.285714285714286,10.428571428571429,-159.0,3.0,11.0,1.14,1.1085714285714283,0.02,50.93
4659.0,83.0,63.0,4766.857142857143,68.42857142857143,72.71428571428571,-309.0,-27.0,-1.0,0.94,0.9171428571428571,0.03,82.41
4272.0,106.0,99.0,5492.142857142857,85.57142857142857,74.85714285714286,1258.0,-20.0,-26.0,0.88,0.9328571428571428,-0.01,78.7
845.0,175.0,722.0,1005.0,109.0,459.57142857142856,174.0,-41.0,-275.0,0.71,0.7357142857142858,-0.02,78.7
11168.0,28.0,75.0,11275.57142857143,62.42857142857143,84.42857142857143,-1358.0,86.0,8.0,0.84,0.8957142857142857,0.01,78.7
2995.0,8.0,37.0,2549.714285714286,13.571428571428571,31.0,-81.0,-2.0,1.0,1.33,1.2557142857142856,-0.04,48.15
4726.0,68.0,67.0,4926.142857142857,69.28571428571429,75.85714285714286,-67.0,15.0,-4.0,0.92,0.9085714285714284,0.0199999999999999,82.41
3834.0,28.0,67.0,4493.857142857143,39.57142857142857,61.285714285714285,459.0,28.0,23.0,1.11,1.1271428571428572,-0.02,75.0
445.0,94.0,97.0,435.1428571428572,82.57142857142857,81.42857142857143,-110.0,-25.0,-53.0,0.72,0.7157142857142856,0.04,78.7
400.0,43.0,65.0,691.4285714285714,109.57142857142856,106.0,-229.0,5.0,23.0,0.73,0.75,-0.01,78.7
5974.0,23.0,58.0,5302.428571428572,33.714285714285715,71.14285714285714,-505.0,-5.0,-10.0,1.09,1.0942857142857143,-0.02,75.0
7635.0,40.0,105.0,6725.0,22.285714285714285,85.71428571428571,41.0,-17.0,-49.0,1.02,1.0457142857142858,0.01,75.0
514.0,84.0,84.0,512.4285714285714,88.28571428571429,87.28571428571429,-39.0,14.0,1.0,0.69,0.7342857142857142,0.0,78.7
65.0,0.0,2.0,101.42857142857144,3.571428571428572,2.857142857142857,-1.0,5.0,0.0,0.97,0.9371428571428572,-0.0599999999999999,59.26
165.0,6.0,3.0,172.71428571428572,7.0,5.285714285714286,-26.0,-1.0,0.0,0.75,0.8428571428571429,0.04,59.26
11931.0,84.0,85.0,9990.42857142857,62.71428571428572,77.85714285714286,286.0,-30.0,20.0,0.9,0.9814285714285714,-0.02,78.7
210.0,9.0,5.0,187.0,6.857142857142857,4.428571428571429,-31.0,-5.0,4.0,0.75,1.0557142857142856,-0.02,62.96
